1000|Lio|Kraft|1999-08-27|2016-03-04|Lio.Kraft@fake_ldr|Clemensstr.|74a|19205|Holdorf|M|Mecklenburg-Vorpommern|0170/787460
1001|Toni|Karger|1966-08-23|2010-05-19|Toni.Karger@fake_oxveyf|Wildanger|31a|24848|Klein Bennebek|M|Schleswig-Holstein|0174/84527
1002|Lenia|Blum|1940-07-03|2011-07-20|Lenia.Blum@fake_nphec|Ina-Seidel-Bogen|81|19309|Lanz|F|Brandenburg|0174/6260351
1003|Giulia|Lautenschläger|1933-05-08|2017-09-13|Giulia.Lautenschläger@fake_pixdf|Truderinger Str.|302a|52391|Vettweiß|F|Nordrhein-Westfalen|0179/8183457
1004|Maxim|Niggemann|1931-02-24|2016-01-18|Maxim.Niggemann@fake_lhfvhi|Verdistr.|91|17091|Mölln|M|Mecklenburg-Vorpommern|0174/086677
1005|Piet|Ney|1996-03-06|2019-10-30|Piet.Ney@fake_ipvpi|Trockenstädelweg|1|79677|Schönau im Schwarzwald|M|Baden-Württemberg|0176/745334
1006|Tilo|Heinemann|1937-11-26|2020-04-13|Tilo.Heinemann@fake_lmnr|Fäustlestr.|8|16356|Ahrensfelde|M|Brandenburg|0170/76272
1007|Arin|Stehr|1980-07-17|2020-01-30|Arin.Stehr@fake_slqi|Helenenstr.|4|24241|Reesdorf|F|Schleswig-Holstein|0179/509629
1008|Azra|Henninger|1958-10-29|2014-06-29|Azra.Henninger@fake_htgu|Strelitzer Str.|1|36399|Freiensteinau|F|Hessen|0178/4661487
1009|Stella|Euler|1943-11-01|2017-06-15|Stella.Euler@fake_bus|Wohlfartstr.|28|44869|Bochum|F|Nordrhein-Westfalen|0177/8436239
1010|Palina|Wittig|1985-12-22|2015-05-19|Palina.Wittig@fake_akjck|Siegmannstr.|17|98663|Ummerstadt|F|Thüringen|0173/34733
1011|Mary|Kreutzer|1980-11-02|2010-01-27|Mary.Kreutzer@fake_gvhs|Freseniusstr.|19|87647|Kraftisried|F|Bayern|0179/782152
1012|Isabel|Heidemann|1965-10-15|2019-09-07|Isabel.Heidemann@fake_wrb|Eigerstr.|22a|74193|Schwaigern|F|Baden-Württemberg|0173/037393
1013|Konstantinos|Bruhn|1957-12-27|2010-03-30|Konstantinos.Bruhn@fake_wkr|Wintrichring|85|17379|Altwigshagen|M|Mecklenburg-Vorpommern|0177/486455
